,Food group,Group, Baseline,Value,CF,DALY
402,Bread_wheat_fine,1.0,51.3582512086115,110.8,0.5,0.5
403,Breakfastcereals,1.0,6.40876221981927,6.1,0.5,0.5
404,Discretionary_foods,1.0,57.8180503622414,52.4,0.5,0.5
405,Flour_kernels,1.0,24.802455439947,50.3,0.5,0.5
406,Oats,1.0,14.5261640762295,33.4,0.5,0.5
407,Pasta,1.0,8.11542000546066,10.3,0.5,0.5
408,Rice,1.0,6.54718536425384,5.7,0.5,0.5
409,Cheese_fresh,2.0,6.52183371875592,2.7,0.5,0.5
410,Cheese_other,2.0,38.6973569484548,0.0,0.5,0.5
411,Dairy_fermented,2.0,30.6551698946953,31.7,0.5,0.5
412,Dairy_other,2.0,16.67,0.0,0.5,0.5
413,Milk_highfat,2.0,110.01,130.2,0.5,0.5
414,Milk_lowfat,2.0,162.81288340884,222.0,0.5,0.5
415,Fish_fatty,3.0,16.7881573230695,30.3,0.5,0.5
416,Fish_lean_highclimate,3.0,9.05882738179107,0.0,0.5,0.5
417,Fish_lean_lowmediumclimate,3.0,9.99451177443916,26.1,0.5,0.5
418,Fruit_berry,4.0,15.2527109490058,15.7,0.5,0.5
419,Fruit_citrus,4.0,19.3344139165275,23.5,0.5,0.5
420,Fruit_dried,4.0,3.20122273516868,3.3,0.5,0.5
421,Fruit_juice,4.0,59.2189094830217,32.1,0.5,0.5
422,Fruit_pome,4.0,66.9856413042249,141.9,0.5,0.5
423,Fruit_stone,4.0,15.219228949945,18.6,0.5,0.5
424,Fruit_tropical,4.0,63.6021325491428,10.1,0.5,0.5
425,Potatoes,,85.4825248197403,8.8,0.5,0.5
426,Veg_darkgreen,5.0,7.30254950863854,10.0,0.5,0.5
427,Veg_greenpeas,5.0,8.94152558223746,3.8,0.5,0.5
428,Veg_mushroom,5.0,4.18172658468809,86.6,0.5,0.5
429,Veg_other_coarse,5.0,55.937169704039,61.0,0.5,0.5
430,Veg_other_fine,5.0,55.6228442253019,67.7,0.5,0.5
431,Veg_redorange_coarse,5.0,35.6293156621765,36.8,0.5,0.5
432,Veg_redorange_fine,5.0,58.0208837176865,1.6,0.5,0.5
433,Meat_pork_offal,6.0,11.4006798762317,0.0,0.5,0.5
434,Meat_pork_processed,6.0,27.5313752689261,0.0,0.5,0.5
435,Meat_pork_raw,6.0,49.2471426639361,0.0,0.5,0.5
436,Meat_ruminant,6.0,50.515039627682,15.2,0.5,0.5
437,Nuts,7.0,6.05705976188517,0.5,0.5,0.5
438,Seeds,7.0,0.441603534023337,1.5,0.5,0.5
439,Legumes,8.0,3.06,0.0,0.5,0.5
440,Alcohol,,241.442485855727,0.0,0.5,0.5
441,Coffee_tea_cocoa,,765.994878325908,54.5,0.5,0.5
442,Egg,,24.9672535305872,0.0,0.5,0.5
443,Fat_animal,,12.2472415498424,40.6,0.5,0.5
444,Fat_plant,,28.0416328686588,0.0,0.5,0.5
445,Meat_poultry,,29.0020243924439,149.8,0.5,0.5
